x,y,yaw
-0.43999999999999995,5.140000000000001,2.3561944901923417
-0.6399999999999997,5.340000000000002,3.141592653589793
-0.69,5.340000000000002,2.3561944901923537
-0.7399999999999998,5.390000000000001,3.141592653589793
-0.79,5.390000000000001,3.141592653589793
-0.8399999999999999,5.390000000000001,3.141592653589793
-0.8899999999999997,5.390000000000001,2.3561944901923404
-0.94,5.440000000000001,3.141592653589793
-0.9899999999999998,5.440000000000001,3.141592653589793
-1.04,5.440000000000001,3.141592653589793
-1.0899999999999999,5.440000000000001,3.141592653589793
-1.1399999999999997,5.440000000000001,2.3561944901923404
-1.19,5.490000000000002,3.141592653589793
-1.2399999999999998,5.490000000000002,3.141592653589793
-1.29,5.490000000000002,3.141592653589793
-1.3399999999999999,5.490000000000002,3.141592653589793
-1.3899999999999997,5.490000000000002,3.141592653589793
-1.44,5.490000000000002,2.3561944901923537
-1.4899999999999998,5.540000000000001,3.141592653589793
-1.54,5.540000000000001,3.141592653589793
-1.5899999999999999,5.540000000000001,3.141592653589793
-1.6399999999999997,5.540000000000001,3.141592653589793
-1.69,5.540000000000001,3.141592653589793
-1.7399999999999998,5.540000000000001,-2.356194490192358
-1.79,5.490000000000002,3.141592653589793
-1.8399999999999999,5.490000000000002,3.141592653589793
-1.8899999999999997,5.490000000000002,3.141592653589793
-1.94,5.490000000000002,3.141592653589793
-1.9899999999999998,5.490000000000002,3.141592653589793
-2.04,5.490000000000002,3.141592653589793
-2.09,5.490000000000002,-2.3561944901923404
-2.14,5.440000000000001,3.141592653589793
-2.19,5.440000000000001,3.141592653589793
-2.2399999999999998,5.440000000000001,3.141592653589793
-2.29,5.440000000000001,3.141592653589793
-2.34,5.440000000000001,3.141592653589793
-2.3899999999999997,5.440000000000001,-2.3561944901923404
-2.44,5.390000000000001,3.141592653589793
-2.49,5.390000000000001,3.141592653589793
-2.54,5.390000000000001,3.141592653589793
-2.59,5.390000000000001,-2.3561944901923537
-2.6399999999999997,5.340000000000002,3.141592653589793
-2.69,5.340000000000002,-2.3561944901923404
-2.74,5.290000000000001,3.141592653589793
-2.79,5.290000000000001,-2.1587989303424613
-2.8899999999999997,5.140000000000001,0.0
-2.8899999999999997,5.140000000000001,-2.3561944901923493
-2.99,5.040000000000001,-2.3561944901923537
-3.04,4.990000000000002,-1.5707963267948966
-3.04,4.940000000000001,-2.356194490192336
-3.09,4.890000000000001,-1.5707963267948966
-3.09,4.840000000000002,-2.356194490192336
-3.1399999999999997,4.790000000000001,-1.5707963267948966
-3.1399999999999997,4.740000000000002,-1.5707963267948966
-3.1399999999999997,4.690000000000001,-2.3561944901923404
-3.19,4.640000000000001,-1.5707963267948966
-3.19,4.590000000000002,-1.5707963267948966
-3.19,4.540000000000001,-1.5707963267948966
-3.19,4.490000000000002,-1.5707963267948966
